title,price,location,url,posted_date,image_url,condition,description,post_id,seller_type
Dell Latitude 5420 Core i5-1145G7 (11th Gen) 16GB RAM 256GB Laptop,$440,Vancouver,https://portland.craigslist.org/clk/sys/d/vancouver-dell-latitude-5420-core-i5/7849311812.html,,,,"QR Code Link to This Post


New Open Box Dell Latitude 5420 

Build specs in the photos.",7849311812,
"Dell XPS 13 9333 13.3"" Laptop",$150,Tigard,https://portland.craigslist.org/wsc/sys/d/portland-dell-xps-laptop/7827093261.html,,,,"QR Code Link to This Post


Intel HD Graphics 4400
8GB RAM 
250GB SSD
Intel i5 4210U @ 1.70GHz",7827093261,
"HP Laptop- 16GB Ram, Intel  i5 @ 2.20GHz, Win 11, MS Office 2024",$260,Vancouver,https://portland.craigslist.org/clk/sys/d/vancouver-hp-laptop-16gb-ram-intel-i5/7855493564.html,,,,"QR Code Link to This Post


Laptop includes an activated full version of MS Office 2024 which is a NON SUBSCRIPTION VERSION that doesn’t require monthly or yearly recurring fees. This Machine has a fresh operating system installation of Windows 11 Pro 64Bit. 

Details: 
Brand New Battery 
Brand New 16GB Ram 
15.6” Wide Screen 
16GB Ram 
256GB SSD (Solid State Drive)
Intel Core i5 @ 2.20GHz  (2 Cores 4 Logical CPUs)
Backlit Keyboard and Wi-Fi  
Webcam with Microphone 
Power Supply Included 

Feel free  to ask questions. Cash and local pick up only thanks for looking.

Text/Call/Email -  show contact info",7855493564,
MacBook Air 2019 - Core i5 Laptop,$350,WOODBURN,https://portland.craigslist.org/clc/sys/d/woodburn-macbook-air-core-i5-laptop/7857666286.html,,,,"QR Code Link to This Post


Selling this really nice 13” MacBook Air! 2019. Core i5, 8 gb RAM, 256 gb SSD hard drive. macOS Sonoma. 2K resolution. Lighted keyboard. Comes with charger and good battery. Super fast! Excellent condition!",7857666286,
"HP Laptop- Intel  i7 @2.60GHz, 16GB Ram, Win 11, MS Office 2024",$240,Vancouver,https://portland.craigslist.org/clk/sys/d/vancouver-hp-laptop-intel-i7-260ghz/7855423220.html,,,,"QR Code Link to This Post


Laptop includes an activated full version of MS Office 2024 which is a NON SUBSCRIPTION VERSION that doesn’t require monthly or yearly recurring fees. This Machine has a fresh activated operating system installation of Windows 11. This laptop also supports connecting to a wireless display such as a supported TV with Wi-Fi connected capabilities.

Details: 
16GB DDR4 Ram 
Intel Core i7 @ 2.60GHz  (2 Cores 4 Logical CPUs)
256GB M.2 SSD 
Wi-Fi and Bluetooth 
Webcam with Mic 
Power Supply Included 

Feel free  to ask questions. Cash and local pick up only thanks for looking.

Text/Call/Email -  show contact info",7855423220,
"DELL Latitude E6440 Laptop with i5 processor, SSD, Windows 10",$90,Milwaukie,https://portland.craigslist.org/clc/sys/d/portland-dell-latitude-e6440-laptop/7854754817.html,,,,"QR Code Link to This Post


Brand/ Model: DELL Latitude E6440
Processor Type: i5-4310M
Processor Speed: 2.7 GHz 
Memory: 8 GB DDR3
Hard Drive: 120 GB SSD
Operating System: Windows 10 Pro
Wi-fi
You can try it before you buy it.
Internet ready.
Power adapter included

Let  me know if you have questions  show contact info",7854754817,
"13 inch DELL XPS 13 Laptop with i5 processor (7th gen), Windows 11",$150,Milwaukie,https://portland.craigslist.org/clc/sys/d/portland-13-inch-dell-xps-13-laptop/7852917094.html,,,,"QR Code Link to This Post


Brand/ Model: DELL XPS 13 9360
Processor Type: i5-7300U
Processor Speed: 2.6 GHz 
Memory: 8 GB DDR4
Hard Drive: 250 GB SSD
Operating System: Windows 11 Pro 
Backlit keyboard 
Wi-fi
Bluetooth 
You can try it before you buy it.
Internet ready.
Power adapter included

Let  me know if you have questions  show contact info",7852917094,
"DELL Latitude E6530 Laptop w i7 processor, 16 GB RAM, SSD, Windows 10",$100,Milwaukie,https://portland.craigslist.org/clc/sys/d/portland-dell-latitude-e6530-laptop-i7/7857007631.html,,,,"QR Code Link to This Post


Brand/ Model: DELL Latitude E6530
Processor Type: i7-3520M
Processor Speed: 2.9 GHz 
Memory: 16 GB DDR3
Hard Drive: 250 GB SSD
Operating System: Windows 10 Pro
Wi-fi
Bluetooth 
DVD Drive
Battery life shows as moderate in the bios.
You can try it before you buy it.
Internet ready.
Power adapter included

Let  me know if you have questions",7857007631,
2 Laptop Stands By Ultimate,$25,Portland,https://portland.craigslist.org/wsc/sys/d/portland-laptop-stands-by-ultimate/7849074777.html,,,,"QR Code Link to This Post


25 bucks for one or 40 bucks for both. Very heavy duty and can be used to hold since midi controllers or other devices as well",7849074777,
"Gaming Laptop HP Victus 15.6"" 144Hz FHD Display",$375,portland,https://portland.craigslist.org/mlt/sys/d/portland-gaming-laptop-hp-victus-hz-fhd/7857603488.html,,,,"QR Code Link to This Post


HP Victus 15.6"" 144Hz FHD Display Gaming Laptop
Windows 11 (64-bit). Factory Reset.
AMD Ryzen 5 7535HS- 3.3 GHz, 6 cores, 12 threads
Up to 4.55 GHz max boost .
8GB DDR5 RAM, Hard Drive 512GB SSD
Graphics AMD Radeon RX 6550M, Beats RTX 2050.
Backlit Keyboard, Good Battery, Come With Adapter Charger.
Good Condition, Work Great, Like New.
$375 Cash, No Trade. Thank you",7857603488,
MacBook Intel Core Duo Laptop,$60,NE,https://portland.craigslist.org/mlt/sys/d/portland-macbook-intel-core-duo-laptop/7832846923.html,,,,"QR Code Link to This Post


This is available, so no need to ask:

Apple Mac Book Core  Duo 1.8ghz 13-Inch,  A1181 Notebook
works. plastic case is a bit yellowed

100gb harddrive, 1.25gb ram.
with power adapter

battery life not tested or guaranteed

do your research to determine if this will meet your needs

$60",7832846923,
I7-11800H RTX 3050 Dell G5511 Gaming Laptop,$440,Goose Hollow,https://portland.craigslist.org/mlt/sys/d/portland-h-rtx-3050-dell-g5511-gaming/7852041738.html,,,,"QR Code Link to This Post


Enjoy a portable gaming experience with this affordable gaming laptop

•  Delight in crisp, smooth visuals while gaming or watching media. The Nvidia RTX 3050 graphics card powers a 15.6"" 120hz 1080p screen, capable of running at high frame rates above 120 fps on high graphics with effects

•  Spend less time waiting with the fast load times of an 8 Core/16 Thread I7-11800H processor, 512GB SSD, and 16GB RAM. This package delivers the power and speed to handle difficult programs or games without lag

•  Start playing from the moment you bring it home. Connect to your network at fast speeds and long range with the latest generation Wi-Fi. The laptop runs a fresh install of an activated and update Windows 11

•  For optimal cooling, pressurized air cleared dust from the fans, radiator and case, the fans had dust removed by hand and alcohol cleaned and sanitized all surfaces of this RGB gaming laptop. It was used to remove spots on the screen and to wipe the keyboard and trackpad

•  The gaming computer is in excellent condition; it was used daily for gaming. The trackpad is responsive and works in all areas. All keys are responsive and release well after being pressed down. The only signs of use are some scuff marks on the lid of the laptop. The screen is in perfect condition as are the rest of the case around the keyboard and trackpad


•Specs: 
Model: 2021 Dell G15 5511
Screen: 15.6” FHD (1920x1080p), 120 Hz Refresh Rate
Graphics Card: 3050 Nvidia GeForce RTX 4 GB GDDR6
CPU: Intel i7-11800H @ 2.3 GHz Base & Boost @ 4.6 GHz  8 core/16 Threads 
Ram: 16 GB DDR4 
Storage: 512 GB SSD NVMe M.2
Wi-Fi: Wi-Fi 6, Bluetooth 5, 3x USB 3.1 Ports, 1x USB-Type C, audio 3.5mm",7852041738,
Dell latitude 7420 laptop 11th gen i7 core,$300,clark/cowlitz WA,https://portland.craigslist.org/clk/sys/d/vancouver-dell-latitude-7420-laptop/7817221912.html,,,,"QR Code Link to This Post


Looks and works like new Dell latitude 7420 laptop. Battery charges 100% and last long time.

Specs are:
Dell latitude 7420 
11th Gen i7 core 1165G7 CPU
16GB DDR4 Memory
Toshiba 512GB NVME SSD
14"" Screen
Type C charger
Intel Iris XE Video
WIFI, Blue Tooth, Web Cam
Windows 11 pro...$300

Call or text 36o 5I3 8five22 !!!NO EMAIL!!!
I am not holding item until buyer shows up. First come, First served.


Text or call only, No email please. 36o 5I3 8FIVE22

i7 core, Dell laptop, latitude",7817221912,
"Like New HP Pavilion 2-in-1 14"" FHD Touchscreen Laptop",$250,Vancouver,https://portland.craigslist.org/clk/sys/d/vancouver-like-new-hp-pavilion-in-14/7831759219.html,,,,"QR Code Link to This Post


HP  14"" 2-in-1 Touchscreen Full HD Laptop Computer in excellent like new condition for $250 Cash. No trade/shipping/Paypal.

Local pick up with cash only. Comes with original power cord and charger.
Intel Core i3-1215U 8GB RAM 256GB SSD, Windows 11 Home,
Model: 14-EK0013DX

Display: 14.0-inch diagonal, FHD (1920 x 1080), multitouch-enabled, IPS, edge-to-edge glass, microedge
Crystal-clear visuals with 178-degree wide-viewing angles.
Processor: 12th Generation Intel Core i3-1215U
Memory: 8 GB DDR4-3200 MHz RAM (onboard)
Internal storage: 256 GB PCIe NVMe M.2 SSD
Graphics: Intel Iris Xe Graphics
Wireless: 802.11a/b/g/n/ac (2x2)(19a) Wi-Fi and Bluetooth combo
Sound: Audio by B&O with dual speakers
Camera: HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones
HP Fast Charge: Go from 0 to 50% charge in approximately 45 minutes

Product weight: 3.35 lb
Product Dimensions: 12.68 x 8.27 x 0.74 inches
1 x HDMI
2 x USB-A 3.0, 1 x USB-C 3.0",7831759219,
"sabrent laptop dock station, USB 3.0, Windows, Mac, and Linux",$30,"Errol Heights, SE Portland",https://portland.craigslist.org/mlt/sys/d/portland-sabrent-laptop-dock-station/7830686608.html,,,,"QR Code Link to This Post


i bought this 9 years ago, it is not USB-C, but it is a good dock that supports dual displays, has 2 UBS 2.0 ports, 2 USB 2.4 fast charging ports, and 2 USB 3.0 ports. It supports HDMI, DVI, has a 10/100/1000 Gigabit Ethernet Port, headphones and mic. i can throw in a couple of USB type A to USB-C adapters if you like but note that you won't get USB-C speeds (USB 3.0 vs 3.2). 

not pictured is the main USB 3.0 cable (type A) that connects the dock to the laptop but it is here. also, i have electrical tape over all the led indicators because i don't like light in my bedroom but they all work and you can remove the electrical tape if you wish.",7830686608,
"Dell Latitude 7490 i5-8350U 14"" Touchscreen Windows 11 Laptop 256GB",$239,Sherwood,https://portland.craigslist.org/wsc/sys/d/sherwood-dell-latitude-7490-i5-8350u-14/7857379930.html,,,,"QR Code Link to This Post


We are LV Electronics in Sherwood and we offer two ways to shop:
In Store or Text us to order with Free UPS Delivery!
We have many other options and can customize.
6-Month Warranty on All! No Appointment Necessary. Open 9-5 M-F.
20746 SW Olds Place, Suite 105, Sherwood OR 97140
show contact info
 (Call/Text)

Dell Latitude 7490
Charger is Included.
Windows 11 Pro
14 in. Touchscreen 1920x1080
NEW 256GB M.2 SSD
Intel Core i5-8350U 1.70-3.60GHz CPU
16GB RAM DDR4
Video Outputs: HDMI
Built-in Webcam
Other Features: Backlit Keyboard, Bluetooth, USB 3.0, USB-C, SD Card Reader, & Built-in Speakers
Dual Band Wi-Fi
This model does not have a built in DVD Drive

Charger is Included. We give a small trade in credit for unwanted equipment",7857379930,
"DELL Latitude E6540 Laptop with i7 processor,8 GB RAM,SSD, Windows 10",$100,Milwaukie,https://portland.craigslist.org/clc/sys/d/portland-dell-latitude-e6540-laptop/7854969367.html,,,,"QR Code Link to This Post


Brand/ Model: DELL Latitude E6540
Processor Type: i7-4610M
Processor Speed: 3.0 GHz 
Memory: 8 GB (I can double it for $20)
Hard Drive: 250 GB SSD
Operating System: Windows 10
Wi-fi
2 GB Graphics 
You can try it before you buy it.
Internet ready.
Power adapter included

Let  me know if you have questions",7854969367,
"DELL Latitude 7480 Laptop with i5 (7th gen), 16 GB RAM, SSD,Windows 11",$175,Milwaukie,https://portland.craigslist.org/clc/sys/d/portland-dell-latitude-7480-laptop-with/7856748444.html,,,,"QR Code Link to This Post


Brand/ Model: DELL Latitude 7480
Processor Type: i5-7300U
Processor Speed: 2.6GHz 
Memory: 16 GB DDR4
Hard Drive: 250 GB SSD
Operating System: Windows 11 Pro
Wi-fi
Bluetooth 
You can try it before you buy it.
Internet ready.
Power adapter included

Let  me know if you have questions  show contact info",7856748444,
"14 inch DELL Latitude Wireless Laptop with Windows 10, SSD",$90,Milwaukie,https://portland.craigslist.org/clc/sys/d/portland-14-inch-dell-latitude-wireless/7853397768.html,,,,"QR Code Link to This Post


The battery holds charge for about 30 minutes. The price has been adjusted because of that. 

Brand/Model: DELL Latitude E7470
Processor Type: i5 6th gen 2.4 Ghz
Memory: 8 GB DDR4
Hard Drive: 120 GB SSD
Wifi 
Webcam 
Operating System: Windows 10 (Fresh Install)
You can try it before you buy it.
Power adapter included.

Let  me know if you have questions  show contact info",7853397768,
DELL LAPTOP LATITUDE 7490,$195,TIGARD,https://portland.craigslist.org/wsc/sys/d/portland-dell-laptop-latitude-7490/7854492945.html,,,,"QR Code Link to This Post


DELL LAPTOP - LATITUDE 7490

WINDOWS 11
16GB RAM
INTEL CORE i-7-8650U  CPU @ 1.90 GHz
512 GB SSD
INTEL UHD GRAPHICS 620 (128 MB)
CAMERA, WIRELESS, BLUETOOTH
AC ADAPTER",7854492945,
ROG Zephyrus Gaming Laptop,"$1,300",Buckman,https://portland.craigslist.org/mlt/sys/d/portland-rog-zephyrus-gaming-laptop/7857272305.html,,,,"QR Code Link to This Post


Impulse bought this over a year ago and it's not getting any use because I have a nice desktop. In great shape and can run any modern game at high settings with stellar framerate. Also still have the original packing, it's basically brand new.",7857272305,
"MacBook Air 13.3"" A1466 Laptop . Turn on ,battery good",$165,SE Portland,https://portland.craigslist.org/clc/sys/d/portland-macbook-air-133-a1466-laptop/7857226173.html,,,,"QR Code Link to This Post


2012 MacBook Air 13.3"" Laptop  Operated system crashed down . . Included original power supply .Model#1466 .i5-3427U@1.80 GHz 4GB RAM.Turn on ,battery good working order,super nice clean body, screen,keyboard clean no any missing keys.Good for part or repair .$165.00",7857226173,
Targus Laptop briefcase,$25,Vancouver,https://portland.craigslist.org/clk/sys/d/vancouver-targus-laptop-briefcase/7832708501.html,,,,"QR Code Link to This Post


If you STILL SEE post/ad, It is STILL AVAILABLE. No need to ask if still available. Will update/Delete when sold. Any vague emails will be ignored/deleted without a response. Will only give address to buyer that is actively on their way. Must arrive within an hour of getting address. Please arrive with the exact amount of cash. 

If you call and there is no answer please leave a detailed message. (I have many other things for sale) I will call back ASAP. You must leave a message to get a call back. If you do not leave a message, I will not call back due to way too many scams. Thank you

Targus Laptop briefcase style black in great condition.

Will hold upto a 17” laptop. Has lots of pockets and storage.
Non Smoking and pet free home. 

NE 162nd Ave and NE 18th st Vancouver, WA 98684

$25 cash only Firm",7832708501,
Swiss Army laptop bag,$25,Vancouver,https://portland.craigslist.org/clk/sys/d/vancouver-swiss-army-laptop-bag/7832708265.html,,,,"QR Code Link to This Post


If you STILL SEE post/ad, It is STILL AVAILABLE. No need to ask if still available. Will update/Delete when sold. Any vague emails will be ignored/deleted without a response. Will only give address to buyer that is actively on their way. Must arrive within an hour of getting address. Please arrive with the exact amount of cash. 

If you call and there is no answer please leave a detailed message. (I have many other things for sale) I will call back ASAP. You must leave a message to get a call back. If you do not leave a message, I will not call back due to way too many scams. Thank you

In great condition. All zippers work. Lots of storage and pockets.  Will carry upto a 17” laptop

Non smoking and pet free home

NE 162nd Ave and NE 18th St area Vancouver, WA 98684 

$25 cash only firm",7832708265,
Rain Design mStand for Apple Mac or Other Laptop,$20,Northwest Portland,https://portland.craigslist.org/mlt/sys/d/portland-rain-design-mstand-for-apple/7830433161.html,,,,"QR Code Link to This Post


Rain Design mStand for Apple Mac or Other Laptop, $20 each or two for $35

Lightly used, excellent condition, made from solid aluminum, works with small 13-inch to large 16-inch laptops. Stand 
material acts as heat sync and helps dissipate heat coming off laptop. Silicone pads help keep laptop from moving on 
stand, and silicone feet on bottom keep stand from moving on table surface.

mStand creates a more stable base compared to other laptop stands. Good for working with lid open or closed with external monitors
as well as just a nice stable base – with heat sync – when charging while not in use. Keeps the laptop off table or desk surface where
coffee and other liquid spills occur.",7830433161,
Microsoft Surface Laptop,$100,Portland,https://portland.craigslist.org/mlt/sys/d/portland-microsoft-surface-laptop/7849252542.html,,,,"QR Code Link to This Post


Laptop Microsoft Surface Go Touchscreen 
Processor Intel Pentium 1.7ghz
Memory 8gb,SSD 128gb,Webcam,

Used for data logging. Comes with hand held case and Microsoft cover keyboard.",7849252542,
"Alienware 15 15.6'' i7-4710HQ, 16GB, GTX 980M, SSD Win10 Gaming Laptop",$300,vancouver/ridgefield,https://portland.craigslist.org/clk/sys/d/ridgefield-alienware-i7-4710hq-16gb-gtx/7857018275.html,,,,"QR Code Link to This Post


Excellent working condition, Factory Reset. Comes with original charger.

Laptop has a small dent on top cover (doesn't affect the performance) Everything else is in excellent condition.

Cash only, No trades. Price is firm, Willing to meet at local Starbucks for you to Test out.

SPECS:
CPU: i7-4710HQ @ 2.5Ghz
Ram: 16GB DDR3
Graphics: nVidia GTX 980M + Windows Graphics 4600
Storage: 256gb SSD
OS: Windows 10 Home",7857018275,
"17in HP LAPTOP 17-e0200us with windows 11 Pro, Office 2007Professional",$150,Kalama,https://portland.craigslist.org/clk/sys/d/carrolls-17in-hp-laptop-17-e0200us-with/7833822090.html,,,,"QR Code Link to This Post


17in HP 17-e0200 2.4GHz Intel Core i3-3110M 6gb  ram 500Gb HD needs a new battery ($18 on EBAY can order for you. but would suggest a HP original) everything works but was dropped once in Vegas goodwill causing broken case above VGA connector and minor case deformation. cd cover is missing but still works.
latest Microsoft windows 11 pro installed on 6/2/25
Windows 10/11 pro license on Microsoft servers
includes ac adapter
call and see it run yourself
$150 obo",7833822090,
DELL INSPIRION LAPTOP,$325,washington county,https://portland.craigslist.org/wsc/sys/d/portland-dell-inspirion-laptop/7851403814.html,,,,"QR Code Link to This Post


LIKE NEW
WINDOWS 10 HOME VERSION
TOUCH SCREEN
15.6 "" HD SCREEN
INTEL CORE i 5 -8250U PROCESSOR 1.60-1.80GHZ CPU
8th generation
12GB RAM
64 BIT OPERATING SYSTEM
PRECISION TOUCHPAD & PEN
WIRELESS AND BLUETOOTH
IR CAMERA & DUEL MICROPHONES
SD CARD READER
3 USB INPUTS
1 HDMI INPUT
BUILT IN DVD R/W
HEADPHONE JACK",7851403814,
Lenovo Ideapad Pro 5i Laptop,$540,University Park,https://portland.craigslist.org/mlt/sys/d/portland-lenovo-ideapad-pro-5i-laptop/7850986428.html,,,,"QR Code Link to This Post


Well cared for 16"" Laptop Computer

Model:  Lenovo Ideapad Pro 5i
CPU: Intel Core i5 13500H
GPU: NVidia RTX 3050 6GB DDR6 VRAM
RAM: 16 GB DDR5 (soldered)
Storage:  1TB Boot drive, additional 512 GB Data drive
OS: Windows 11 Pro (licensed, and factory reset)
Original packaging included
No scratches or dents on screen nor body.

Cash sale to local buyers only. 
I will not ship this item.",7850986428,
***LAPTOP CASE***,$15,Beaverton,https://portland.craigslist.org/wsc/sys/d/portland-laptop-case/7855745107.html,,,,"QR Code Link to This Post


Laptop Case - Black
Not taken out, just used for home laptop storage
15"" x 11.5"" x 3""
Perfect condition, lots of pockets

$15

Text is best. Phone is usually silent & email not checked daily.
Cash only. Thank you!",7855745107,
Hewlett-Packard pavilion 360 touch screen two-in-1 laptop and tablet,$300,Portland,https://portland.craigslist.org/mlt/sys/d/portland-hewlett-packard-pavilion-360/7856678690.html,,,,"QR Code Link to This Post


It works perfectly has Windows 10 have the charger with it not wanting to get rid of it but need money badly trying to keep the electricity from being shut off",7856678690,
Dell Inspiron 15.6 Touch Laptop Ryzen 7 7730U 16GB 512GB i3535-A813BLK,$300,Beaverton,https://portland.craigslist.org/wsc/sys/d/beaverton-dell-inspiron-156-touch/7851033804.html,,,,"QR Code Link to This Post




Like new.",7851033804,
"Gaming Laptop HP Victus 15.6"" 144Hz FHD Display",$375,portland,https://portland.craigslist.org/mlt/sys/d/portland-gaming-laptop-hp-victus-hz-fhd/7856591081.html,,,,"QR Code Link to This Post


HP Victus 15.6"" 144Hz FHD Display Gaming Laptop
Windows 11 (64-bit). Factory Reset.
AMD Ryzen 5 7535HS-  3.3 GHz, 6 cores, 12 threads
Up to 4.55 GHz max boost .
8GB DDR5 RAM, Hard Drive 512GB SSD
Graphics AMD Radeon RX 6550M, Beats RTX 2050.
Backlit Keyboard, Good Battery, Come With Adapter Charger.
Good Condition, Work Great, Like New.
$375 Cash, No Trade. Thank you",7856591081,
Dell Inspiron 15-7579 2in1 Laptop / Tablet,$150,Se Portland,https://portland.craigslist.org/mlt/sys/d/portland-dell-inspiron-in1-laptop-tablet/7856542464.html,,,,"QR Code Link to This Post


A Convertible 2 in 1 Laptop Tablet solution 

Use it as a laptop with a touch screen or use it converted into a tablet like device 

You can use your finger like a smart phone or use a passive pointing pen / device that works on smartphones and tablets for creative drawing with Gimp or editing with something like photoshop 

Days ago wiped it and fully loaded Windows 10 and other apps & drivers for full functionality of the device - then got all the intel & Microsoft updates 

Later decided to try the latest Windows 11 on it - seems the same to me  - if you prefer windows 10 you can use the go back to it option


Updated to 12 GB DDR4 memory / Ram - a new battery is installed & in excellent health- comes with the charger & cord 


Specs in pictures",7856542464,
